sheet,chain,co_owned,state,empft,emppt,wage_st,empft2,emppt2,wage_st2,fte,fte2,dfte,gap,dw,sample
56.0,4.0,1.0,0.0,20.0,20.0,5.0,0.0,36.0,5.25,30.0,18.0,-12.0,0.0,0.25,1.0
61.0,4.0,1.0,0.0,6.0,26.0,5.5,28.0,3.0,4.75,19.0,29.5,10.5,0.0,-0.75,1.0
445.0,1.0,0.0,0.0,50.0,35.0,5.0,15.0,18.0,4.75,67.5,24.0,-43.5,0.0,-0.25,1.0
451.0,1.0,0.0,0.0,10.0,17.0,5.0,26.0,9.0,5.0,18.5,30.5,12.0,0.0,0.0,1.0
455.0,2.0,1.0,0.0,2.0,8.0,5.25,3.0,12.0,5.0,6.0,9.0,3.0,0.0,-0.25,1.0
458.0,2.0,1.0,0.0,2.0,10.0,5.0,2.0,9.0,5.0,7.0,6.5,-0.5,0.0,0.0,1.0
462.0,3.0,1.0,0.0,2.5,20.0,5.0,1.0,25.0,4.75,12.5,13.5,1.0,0.0,-0.25,1.0
468.0,1.0,0.0,0.0,40.0,30.0,5.0,9.0,32.0,5.0,55.0,25.0,-30.0,0.0,0.0,1.0
469.0,1.0,0.0,0.0,8.0,27.0,5.0,7.0,39.0,4.5,21.5,26.5,5.0,0.0,-0.5,1.0
470.0,1.0,0.0,0.0,10.5,30.0,5.5,18.0,10.0,4.75,25.5,23.0,-2.5,0.0,-0.75,1.0
474.0,1.0,0.0,0.0,6.0,9.0,5.0,5.0,20.0,4.5,10.5,15.0,4.5,0.0,-0.5,1.0
481.0,2.0,1.0,0.0,5.0,17.5,5.25,15.0,4.0,5.0,13.75,17.0,3.25,0.0,-0.25,1.0
483.0,2.0,1.0,0.0,1.0,15.0,5.0,4.0,13.0,4.75,8.5,10.5,2.0,0.0,-0.25,1.0
487.0,3.0,1.0,0.0,10.0,6.0,5.0,6.0,20.0,4.75,13.0,16.0,3.0,0.0,-0.25,1.0
488.0,3.0,0.0,0.0,20.0,13.0,5.0,5.0,15.0,4.75,26.5,12.5,-14.0,0.0,-0.25,1.0
489.0,3.0,0.0,0.0,5.0,23.0,5.0,2.0,19.0,4.25,16.5,11.5,-5.0,0.0,-0.75,1.0
490.0,3.0,1.0,0.0,10.0,12.5,5.0,2.0,18.0,5.0,16.25,11.0,-5.25,0.0,0.0,1.0
493.0,3.0,1.0,0.0,27.0,12.0,5.0,0.0,30.0,4.900000095367432,33.0,15.0,-18.0,0.0,-0.09999990463256836,1.0
495.0,3.0,0.0,0.0,4.0,28.0,5.0,8.0,20.0,5.0,18.0,18.0,0.0,0.0,0.0,1.0
496.0,3.0,1.0,0.0,10.0,15.0,5.0,10.0,10.0,4.75,17.5,15.0,-2.5,0.0,-0.25,1.0
499.0,4.0,1.0,0.0,0.0,28.0,5.0,0.0,31.0,5.0,14.0,15.5,1.5,0.0,0.0,1.0
509.0,3.0,1.0,0.0,3.0,16.0,5.0,5.5,10.0,4.25,11.0,10.5,-0.5,0.0,-0.75,1.0
515.0,3.0,1.0,0.0,7.0,16.0,5.0,5.0,19.0,4.75,15.0,14.5,-0.5,0.0,-0.25,1.0
37.0,1.0,0.0,0.0,21.0,9.0,4.25,6.0,25.0,4.25,25.5,18.5,-7.0,0.0,0.0,1.0
